firstName,lastName,age,eyeColour,hairColour
David,Brown,59,blue,white
John,Davis,75,green,black
David,Miller,56,green,blonde
David,Wilson,54,green,grey
Patricia,Williams,85,hazel,white
Robert,Smith,92,brown,ginger
Linda,Wilson,91,blue,white
Jennifer,Smith,74,hazel,black
Patricia,Thomas,50,blue,white
David,Jones,78,brown,black
James,Davis,55,green,black
Michael,Jones,69,green,blue
Robert,Jones,33,blue,blonde
Mary,Jones,32,hazel,white
Jennifer,Wilson,86,hazel,grey
Robert,Jones,73,hazel,white
Patricia,Thomas,75,green,ginger
Patricia,Jones,78,blue,grey
David,Miller,70,blue,black
Michael,Brown,70,blue,blue
Mary,Brown,62,brown,white
Linda,Smith,89,hazel,blue
Linda,Smith,9,blue,white
Jennifer,Williams,32,brown,blonde
David,Williams,57,green,black
John,Wilson,92,brown,grey
Michael,Garcia,95,green,black
Robert,Brown,22,hazel,blue
David,Thomas,75,green,blonde
Linda,Smith,58,green,brown
Linda,Williams,92,hazel,ginger
Jennifer,Wilson,38,hazel,grey
Robert,Smith,45,brown,blonde
John,Davis,13,brown,grey
Mary,Davis,36,brown,blue
Robert,Williams,57,hazel,grey
Patricia,Miller,30,green,white
John,Brown,90,hazel,brown
Robert,Miller,63,green,black
Robert,Miller,58,brown,grey
James,Brown,3,brown,grey
Linda,Jones,3,green,brown
James,Thomas,28,blue,white
John,Miller,65,green,white
Patricia,Thomas,13,green,black
David,Johnson,58,green,grey
Susan,Johnson,59,brown,grey
Mary,Williams,9,hazel,brown
Susan,Johnson,43,brown,black
Robert,Wilson,15,brown,grey
James,Smith,74,blue,brown
Susan,Williams,15,hazel,ginger
David,Garcia,31,green,blue
Michael,Wilson,8,brown,brown
John,Jones,80,green,brown
Patricia,Brown,50,brown,brown
Susan,Smith,41,hazel,grey
Jennifer,Jones,73,green,grey
John,Williams,53,hazel,brown
James,Thomas,13,blue,white
James,Jones,58,brown,brown
Michael,Williams,26,hazel,blonde
James,Thomas,47,green,brown
Robert,Jones,59,hazel,black
Michael,Jones,76,brown,ginger
James,Thomas,96,green,ginger
Robert,Johnson,43,blue,grey
Patricia,Williams,51,brown,brown
David,Wilson,35,hazel,ginger
Michael,Johnson,93,blue,blonde
Michael,Wilson,93,hazel,white
John,Johnson,39,brown,white
Patricia,Davis,77,brown,black
John,Williams,73,green,ginger
Linda,Miller,71,brown,white
James,Williams,86,green,grey
James,Smith,75,green,white
David,Jones,57,hazel,brown
Michael,Wilson,92,brown,black
Patricia,Jones,61,blue,ginger
John,Smith,65,green,blonde
Susan,Williams,80,blue,blue
Michael,Williams,81,blue,grey
Patricia,Wilson,77,blue,brown
James,Thomas,25,brown,blue
Susan,Williams,52,blue,blonde
David,Garcia,16,green,blue
Susan,Johnson,21,brown,blonde
David,Jones,85,brown,blue
Michael,Garcia,94,green,black
Jennifer,Smith,57,hazel,ginger
John,Wilson,58,blue,white
